Take, taking, took, taken
Run, running, ran, run
Speak, speaking, spoke, spoken
Write, writing, wrote, written
Sing, singing, sang, sung
Begin, beginning, began, begun
See, seeing, saw, seen
Give, giving, gave, given
Drive, driving, drove, driven
Swim, swimming, swam, swum
Drink, drinking, drank, drunk
Fly, flying, flew, flown
Buy, buying, bought, bought
Teach, teaching, taught, taught
Break, breaking, broke, broken
Choose, choosing, chose, chosen
Bring, bringing, brought, brought
Catch, catching, caught, caught
Know, knowing, knew, known
